workloads,repetition,xapp,expected_requests,observed_requests,valid_responses,deadline_misses,end_to_end_mean_ms
100,2,scale-n100-x079,20,20,18,20,24081.13623615
100,2,scale-n100-x080,20,20,18,20,23899.64513905
100,2,scale-n100-x081,20,20,17,20,25506.822566900002
100,2,scale-n100-x082,20,20,19,20,22795.606786
100,2,scale-n100-x083,20,20,19,20,22600.23756655
100,2,scale-n100-x084,20,20,19,20,23069.057301
100,2,scale-n100-x085,20,20,20,20,21867.3707257
100,2,scale-n100-x086,20,20,18,20,23765.079251
100,2,scale-n100-x087,20,20,19,20,22238.788041
100,2,scale-n100-x088,20,20,20,20,21351.3641646
100,2,scale-n100-x089,20,20,18,20,25031.71855375
100,2,scale-n100-x090,20,20,18,20,23627.01434045
100,2,scale-n100-x091,20,20,19,20,22560.847988
100,2,scale-n100-x092,20,20,20,20,20934.05187035
100,2,scale-n100-x093,20,20,18,20,24445.22770105
100,2,scale-n100-x094,20,20,19,20,23461.279311450002
100,2,scale-n100-x095,20,20,20,20,23532.510160550002
100,2,scale-n100-x096,20,20,18,20,23456.47936685
100,2,scale-n100-x097,20,20,20,20,23141.241193
100,2,scale-n100-x098,20,20,20,20,21565.384078299998
100,2,scale-n100-x099,20,20,19,20,21892.39069565
75,2,scale-n075-x000,20,20,20,19,14392.24615765
75,2,scale-n075-x001,20,20,20,19,13984.17889705
75,2,scale-n075-x002,20,20,20,19,14927.5237222
75,2,scale-n075-x003,20,20,20,19,14660.906150499999
75,2,scale-n075-x004,20,20,20,19,15070.9446034
75,2,scale-n075-x005,20,20,20,19,14632.5573603
75,2,scale-n075-x006,20,20,20,19,14655.01345715
75,2,scale-n075-x007,20,20,20,19,14793.7993869
75,2,scale-n075-x008,20,20,20,19,13462.93508005
75,2,scale-n075-x009,20,20,20,19,14091.8832457
75,2,scale-n075-x010,20,20,20,19,14646.869307800001
75,2,scale-n075-x011,20,20,20,19,14820.768810599999
75,2,scale-n075-x012,20,20,20,19,13894.7629419
75,2,scale-n075-x013,20,20,20,19,14200.31056645
75,2,scale-n075-x014,20,20,20,19,13957.89035795
75,2,scale-n075-x015,20,20,20,19,14743.713311999998
75,2,scale-n075-x016,20,20,20,19,14131.827335599999
75,2,scale-n075-x017,20,20,20,19,14894.824482300002
75,2,scale-n075-x018,20,20,20,19,13892.0329221
75,2,scale-n075-x019,20,20,20,19,15349.55543595
75,2,scale-n075-x020,20,20,20,19,14590.738330650001
75,2,scale-n075-x021,20,20,20,19,14317.665099950002
75,2,scale-n075-x022,20,20,20,19,14495.002896299999
75,2,scale-n075-x023,20,20,20,19,14825.12156715
75,2,scale-n075-x024,20,20,20,19,16153.191266400001
75,2,scale-n075-x025,20,20,19,19,15540.49696525
75,2,scale-n075-x026,20,20,20,19,14846.639451949999
75,2,scale-n075-x027,20,20,20,19,15149.80295495
75,2,scale-n075-x028,20,20,20,20,14946.13656345
75,2,scale-n075-x029,20,20,19,19,16010.2961821
75,2,scale-n075-x030,20,20,19,20,16510.1975981
75,2,scale-n075-x031,20,20,19,20,16752.0708942
