workloads,repetition,xapp,expected_requests,observed_requests,valid_responses,deadline_misses,end_to_end_mean_ms
50,1,scale-n050-x041,20,20,20,20,5863.46239285
50,1,scale-n050-x042,20,20,20,20,6273.635923
50,1,scale-n050-x043,20,20,20,20,6237.1439995499995
50,1,scale-n050-x044,20,20,20,20,6505.08297625
50,1,scale-n050-x045,20,20,20,20,6730.1705073
50,1,scale-n050-x046,20,20,20,20,6111.1355947
50,1,scale-n050-x047,20,20,20,20,6855.596716149999
50,1,scale-n050-x048,20,20,20,20,5806.95601465
50,1,scale-n050-x049,20,20,20,20,5871.60740205
50,2,scale-n050-x000,20,20,20,17,3517.5681949500004
50,2,scale-n050-x001,20,20,20,17,3576.78916225
50,2,scale-n050-x002,20,20,20,18,3591.9751509499997
50,2,scale-n050-x003,20,20,20,17,3902.3847069000003
50,2,scale-n050-x004,20,20,20,18,3575.60545505
50,2,scale-n050-x005,20,20,20,17,3790.0439582500003
50,2,scale-n050-x006,20,20,20,17,4155.642341299999
50,2,scale-n050-x007,20,20,20,18,4695.384705949999
50,2,scale-n050-x008,20,20,20,18,4117.25443835
50,2,scale-n050-x009,20,20,20,18,4117.626292999999
50,2,scale-n050-x010,20,20,20,18,4523.3695317
50,2,scale-n050-x011,20,20,20,18,4083.4254898
50,2,scale-n050-x012,20,20,20,18,4705.85634745
50,2,scale-n050-x013,20,20,20,18,5091.9110186
50,2,scale-n050-x014,20,20,20,18,4705.23724
50,2,scale-n050-x015,20,20,20,18,5062.0305768
50,2,scale-n050-x016,20,20,20,18,6154.6017951
50,2,scale-n050-x017,20,20,20,18,5247.83782445
50,2,scale-n050-x018,20,20,20,18,4693.30558005
50,2,scale-n050-x019,20,20,20,19,6393.05773335
50,2,scale-n050-x020,20,20,20,18,6163.3283646
50,2,scale-n050-x021,20,20,20,19,6008.466015399999
50,2,scale-n050-x022,20,20,20,18,6574.153987750001
50,2,scale-n050-x023,20,20,20,18,6057.67845925
50,2,scale-n050-x024,20,20,20,19,6213.26007025
50,2,scale-n050-x025,20,20,20,18,6065.4078531
50,2,scale-n050-x026,20,20,20,19,5883.2327116
50,2,scale-n050-x027,20,20,20,19,7527.98746615
50,2,scale-n050-x028,20,20,20,19,6696.0309268500005
50,2,scale-n050-x029,20,20,20,19,5101.68573635
50,2,scale-n050-x030,20,20,20,19,6175.0699326
50,2,scale-n050-x031,20,20,20,19,7018.7249556
50,2,scale-n050-x032,20,20,20,19,6722.48511145
50,2,scale-n050-x033,20,20,20,20,6818.096519299999
50,2,scale-n050-x034,20,20,20,20,6718.2901149
50,2,scale-n050-x035,20,20,20,20,6666.633661899999
50,2,scale-n050-x036,20,20,20,20,6890.084771600001
50,2,scale-n050-x037,20,20,20,20,6349.1121432
50,2,scale-n050-x038,20,20,20,20,6287.9284157
50,2,scale-n050-x039,20,20,20,20,6994.055118350001
50,2,scale-n050-x040,20,20,20,20,5747.68862885
50,2,scale-n050-x041,20,20,20,20,6011.4961207
50,2,scale-n050-x042,20,20,20,20,6332.29144475
50,2,scale-n050-x043,20,20,20,20,6470.7857675
50,2,scale-n050-x044,20,20,20,20,7087.352254150001
50,2,scale-n050-x045,20,20,20,20,6320.55737055
50,2,scale-n050-x046,20,20,20,20,6528.923069099999
50,2,scale-n050-x047,20,20,20,20,6392.914899400001
50,2,scale-n050-x048,20,20,20,20,6581.337029199999
50,2,scale-n050-x049,20,20,20,20,6334.9731376
45,2,scale-n045-x000,20,20,20,16,2320.4925266
45,2,scale-n045-x001,20,20,20,16,2330.64771445
45,2,scale-n045-x002,20,20,20,16,2403.102663
45,2,scale-n045-x003,20,20,20,16,2473.8247880999998
45,2,scale-n045-x004,20,20,20,16,2537.7695924
45,2,scale-n045-x005,20,20,20,16,2602.62762165
