workloads,repetition,request_id,xapp,scheduled_offset_ms,send_lag_ms,service_latency_ms,end_to_end_ms,deadline_missed,http_code,response_valid,state,error
5,1,n5-r1-s018-x003,scale-n005-x003,51056271.528716,1.685257,123.649584,125.334841,0,200,1,SUSPICIOUS,
5,1,n5-r1-s018-x004,scale-n005-x004,51056271.528716,1.976475,122.243226,124.219701,0,200,1,SUSPICIOUS,
5,1,n5-r1-s019-x000,scale-n005-x000,51057271.528716,0.983609,110.305313,111.288922,0,200,1,SUSPICIOUS,
5,1,n5-r1-s019-x001,scale-n005-x001,51057271.528716,1.787612,108.351869,110.139481,0,200,1,SUSPICIOUS,
5,1,n5-r1-s019-x002,scale-n005-x002,51057271.528716,2.03196,111.711159,113.743119,0,200,1,SUSPICIOUS,
5,1,n5-r1-s019-x003,scale-n005-x003,51057271.528716,3.075197,105.626719,108.701916,0,200,1,SUSPICIOUS,
5,1,n5-r1-s019-x004,scale-n005-x004,51057271.528716,3.554257,106.468306,110.022563,0,200,1,SUSPICIOUS,
10,1,n10-r1-s000-x000,scale-n010-x000,51063686.202127,0.700171,211.515421,212.215592,0,200,1,SUSPICIOUS,
10,1,n10-r1-s000-x001,scale-n010-x001,51063686.202127,1.246837,212.319876,213.566713,0,200,1,SUSPICIOUS,
10,1,n10-r1-s000-x002,scale-n010-x002,51063686.202127,1.795436,227.612607,229.408043,0,200,1,SUSPICIOUS,
10,1,n10-r1-s000-x003,scale-n010-x003,51063686.202127,2.488859,218.202476,220.691335,0,200,1,SUSPICIOUS,
10,1,n10-r1-s000-x004,scale-n010-x004,51063686.202127,3.7891,247.324467,251.113567,0,200,1,SUSPICIOUS,
10,1,n10-r1-s000-x005,scale-n010-x005,51063686.202127,5.153007,233.743691,238.896698,0,200,1,SUSPICIOUS,
10,1,n10-r1-s000-x006,scale-n010-x006,51063686.202127,6.048911,218.865863,224.914774,0,200,1,SUSPICIOUS,
10,1,n10-r1-s000-x007,scale-n010-x007,51063686.202127,10.4605,232.981891,243.442391,0,200,1,SUSPICIOUS,
10,1,n10-r1-s000-x008,scale-n010-x008,51063686.202127,12.229993,227.491013,239.721006,0,200,1,SUSPICIOUS,
10,1,n10-r1-s000-x009,scale-n010-x009,51063686.202127,13.375171,218.962331,232.337502,0,200,1,SUSPICIOUS,
