workloads,repetition,duration_s,offered_rate_requests_s,expected_requests,observed_requests,valid_responses,invalid_responses,error_rate,deadline_misses,deadline_miss_rate,send_lag_p95_ms,service_latency_mean_ms,service_latency_p50_ms,service_latency_p95_ms,service_latency_p99_ms,service_latency_max_ms,end_to_end_p95_ms,end_to_end_p99_ms,drain_wall_s,achieved_completion_rate_requests_s,evaluator_cpu_time_s,evaluator_mean_cpu_cores,evaluator_throttled_time_s,evaluator_throttle_events,evaluator_memory_before_bytes,evaluator_memory_after_bytes,client_cpu_time_s,pod_uid,pod_restart_count
3,2,20,3,60,60,60,0,0.0,0,0.0,2.3647765499999998,72.1159108,65.95266749999999,106.04267314999987,180.72303489999993,192.865642,107.54069304999987,181.54533273999994,19.05768968,3.1483354492316407,1.999589,0.10492294887656078,0.0,0,161157120,161116160,0.066610237,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
2,2,20,2,40,40,40,0,0.0,0,0.0,1.5243430499999995,51.339339925000004,51.1538665,75.2144109,90.81930480999999,100.42279,76.13255565,91.55766867999999,19.054001852,2.09929653154733,1.30615,0.06854990411701362,0.0,0,160931840,161714176,0.044136077,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
1,2,20,1,20,20,20,0,0.0,0,0.0,1.2081690000000005,45.7373791,43.059037000000004,57.03346795000005,111.5064519899999,125.124698,58.22557870000006,112.54783573999991,19.045704599,1.0501055445882588,0.873143,0.0458446152759213,0.0,0,161435648,161296384,0.025640894,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
4,3,20,4,80,80,80,0,0.0,0,0.0,3.4686595999999934,76.752828025,71.03660049999999,118.1617809,132.98524953,133.512727,120.0455337,134.36100805,19.085995663,4.191554971118826,2.535905,0.1328673151129386,0.0,0,161792000,161509376,0.098474589,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
10,3,20,10,200,200,200,0,0.0,0,0.0,6.294626599999999,241.54409629000003,244.699015,308.5662129,331.40249480999995,363.855861,314.71499205,336.27262319999994,19.336437975,10.34316662968532,6.590965,0.34085724622711955,0.127936,25,161341440,162271232,0.225845138,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
60,3,20,60,1200,1200,1200,0,0.0,1164,0.97,15787.8661133,7492.482334735832,7776.4200735,13086.2247235,15775.615666669997,21896.447561,22222.44960725,23318.87052185,38.99069327,30.776575109612047,39.262448,1.006969733216031,4.431899,360,161447936,163799040,1.600653676,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
3,3,20,3,60,60,60,0,0.0,0,0.0,4.574394699999854,60.87655751666667,58.5019295,75.02987605,76.88844755,77.344432,80.00875164999987,127.34540553999997,19.071170854,3.1461099299739934,2.200881,0.11540355947985154,0.0,0,161759232,160096256,0.069045136,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
35,3,20,35,700,700,700,0,0.0,465,0.6642857142857143,2589.870605,5278.4392220757145,5203.4592465000005,12322.550160699997,14673.974275139999,16019.357992,12345.893484299997,14716.261435389997,25.213249972,27.76318010480081,25.294038,1.003204189388108,1.660101,190,160206848,160272384,1.101627051,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
40,3,20,40,800,800,800,0,0.0,714,0.8925,2596.1500298499996,5696.529745715,5758.018681,10806.72517815,12601.23020434,13741.002917,11041.383784099997,12822.80972685,24.70233204,32.385606294360215,25.107434,1.016399340732042,3.62551,237,159932416,160894976,1.074118761,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
5,3,20,5,100,100,100,0,0.0,0,0.0,2.3643485999999996,108.66013726,108.7305535,165.60089785,172.28008163,173.24777,166.8802689,173.73446243,19.111244097,5.2325217286977965,2.915905,0.15257536271318548,0.0,0,160264192,159170560,0.104119638,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
30,3,20,30,600,600,600,0,0.0,0,0.0,18.74283734999999,560.6586553783334,584.9157785,853.4201393,928.31984368,985.338146,867.3716639999999,942.1362341399999,19.821289777,30.270482231495404,17.278558,0.8717171382081046,3.865921,157,159158272,159539200,0.673524652,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
25,3,20,25,500,500,500,0,0.0,7,0.014,15.788033299999988,526.640085402,533.7249355,819.0317882999999,1058.36990391,1137.856733,836.4379758999999,1071.7318604900001,19.611157814,25.495689991493535,15.546793,0.7927524293798435,2.506615,139,159305728,159715328,0.600949524,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
80,3,20,80,1600,1600,1600,0,0.0,1568,0.98,29814.68011735,8178.803702001251,8014.22049,13799.18973125,16619.03492364,21202.805414,35422.39751845,36960.54915495,53.580368636,29.861683312962114,53.818339,1.004441372279774,6.80379,500,159969280,162508800,2.072845472,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
1,3,20,1,20,20,20,0,0.0,0,0.0,0.86011125,40.1849704,40.8865205,52.8411897,58.69672673999999,60.160611,53.32587705000001,59.10199940999999,19.052638301,1.0497233865480076,0.98043,0.051459014993663156,0.0,0,165408768,165306368,0.026864342,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
20,3,20,20,400,400,400,0,0.0,0,0.0,12.326542299999993,393.6071766075,404.660751,568.6607074499999,604.9939852499999,622.012774,575.44469355,612.45429211,19.482467615,20.531280118337307,11.449429,0.5876785849850366,0.230829,54,164880384,165081088,0.430926244,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
2,3,20,2,40,40,40,0,0.0,0,0.0,1.3655917499999983,51.86307805,47.744099500000004,85.6723718,89.07296156,89.984897,86.07743124999999,89.80883764,19.042311939,2.100585271795552,1.301328,0.06833876076437904,0.0,0,165400576,166596608,0.049271026,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
3,4,20,3,60,60,60,0,0.0,0,0.0,1.62050415,56.14744743333333,54.994454000000005,69.23829499999991,111.07594545999996,117.462876,70.3223803499999,112.06893662999997,19.059197984,3.1480862967250447,1.811927,0.09506837598943534,0.0,0,164872192,165441536,0.070132723,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
2,4,20,2,40,40,40,0,0.0,0,0.0,1.7316545499999978,50.478290650000005,50.687367,68.2003673,69.53360939999999,70.216281,68.59912184999999,70.4454965,19.04670093,2.100101227346777,1.515425,0.07956364756129974,0.0,0,164569088,165056512,0.05025019,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
40,4,20,40,800,800,800,0,0.0,706,0.8825,2399.48882945,5180.120415163749,5312.560644499999,10599.268165849999,12356.63141921,15187.392048,11026.6360187,12379.82282709,24.633927428,32.47553612140162,25.183254,1.0222995936642898,2.918779,231,165310464,165502976,1.050661108,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
30,4,20,30,600,600,600,0,0.0,337,0.5616666666666666,29.16208984999997,1322.3427728733334,1125.108969,2265.501069599999,2843.5402308199996,3221.350468,2280.4143207999987,2859.6775056899996,19.942238511,30.086893187494685,20.241975,1.0150302328815628,2.604763,186,165244928,164462592,0.791640106,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
4,4,20,4,80,80,80,0,0.0,0,0.0,3.210769749999996,87.254221175,73.212275,138.29125994999998,215.67981428,215.915604,138.87554569999998,216.80029669,19.078944251,4.193104133411727,2.452613,0.1285507713494917,0.129015,8,164831232,164155392,0.087667901,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
20,4,20,20,400,400,400,0,0.0,0,0.0,11.80130395,423.74825914,428.561912,650.6992704,760.63937422,787.989559,656.91864905,773.94268427,19.805481898,20.19642854741105,11.523073,0.5818123012277537,2.298181,95,164372480,164556800,0.444302846,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
5,4,20,5,100,100,100,0,0.0,0,0.0,2.52052325,119.39686302,119.18035,170.27744504999998,177.40731688000008,191.978818,172.40558929999997,177.98051581000007,19.172232491,5.21587666156995,3.087464,0.16103831421037404,0.001784,1,164384768,164818944,0.103861881,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
35,4,20,35,700,700,700,0,0.0,496,0.7085714285714285,32.216161549999995,2143.236370217143,1888.7989855,4796.402381749999,5851.412459529997,6886.522836,4817.651179549999,5853.109314379997,21.223042802,32.98301787027608,21.400355,1.008354701993217,3.058232,193,164454400,165564416,0.956033996,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
25,4,20,25,500,500,500,0,0.0,6,0.012,16.902125249999997,537.078745644,537.4021525,818.6665334999998,1194.9424553699994,1721.781675,836.99942875,1209.2945984199994,19.818866282,25.228486477761486,15.797368,0.7970873699444441,5.1027,139,164597760,164823040,0.616772323,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
60,4,20,60,1200,1200,1200,0,0.0,1167,0.9725,15650.268043049999,7409.885753209167,7625.012785000001,13560.115417599998,15952.3330663,17815.675147,22008.1925288,23377.37368814,38.980605889,30.784539455776645,39.431772,1.011574117454324,3.394128,351,164950016,166477824,1.62078098,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
80,4,20,80,1600,1600,1600,0,0.0,1566,0.97875,28681.069314249995,8039.17807836875,7898.261759999999,14900.405208949995,18271.205353399997,23211.073416,34859.768864800004,36084.83094616,52.980513248,30.199782937368948,53.307075,1.0061638087662792,7.074978,506,165183488,166612992,2.121216508,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
1,4,20,1,20,20,20,0,0.0,0,0.0,2.0461512000000006,37.9451366,38.1028705,54.30052115000001,65.37205142999997,68.139934,54.72458345000001,67.08290468999998,19.036633552,1.0506059249062336,0.985747,0.051781581932927256,0.0,0,164995072,165638144,0.023331229,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
10,4,20,10,200,200,200,0,0.0,0,0.0,4.994662049999998,221.26503589,222.8355535,275.95515329999995,279.36136454,280.473223,279.5328836,281.80017673,19.275144086,10.376057325831603,5.611115,0.29110625450916794,0.046264,14,165195776,165494784,0.222482784,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
25,5,20,25,500,500,500,0,0.0,0,0.0,15.18229664999999,525.2054519980001,542.8288419999999,818.0894573499999,877.4930121499999,940.374611,829.50454825,887.1187365899999,19.61899125,25.485510117651945,15.299982,0.7798556921217853,4.395786,131,167182336,163954688,0.587698832,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
60,5,20,60,1200,1200,1200,0,0.0,1173,0.9775,21425.664316349998,8797.0992134975,8653.906773,15762.786299999998,18617.18967307,22935.740995,27684.471900099998,29120.80953892,44.594964413,26.908867756606725,44.917684,1.007236682240875,2.806939,338,164167680,166047744,1.70571384,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
20,5,20,20,400,400,400,0,0.0,0,0.0,11.750288499999998,435.54669945499995,449.93991100000005,615.89319885,664.14703608,672.198034,623.85638485,672.88435603,19.475734199,20.538378472044375,12.404741,0.6369331637642155,0.335524,62,163991552,164069376,0.461433868,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
35,5,20,35,700,700,700,0,0.0,600,0.8571428571428571,852.5375444,5009.939010158571,5314.044469,10574.175037349996,11950.66236232,13144.602472,10579.723870399997,11985.08082912,22.916868536,30.54518547769183,23.3311,1.018075395569394,3.048225,223,164745216,165142528,1.041049514,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
4,5,20,4,80,80,80,0,0.0,0,0.0,2.3629426,84.202795525,73.2943265,129.3439572,139.14825425,139.180348,130.5377223,140.08553326999998,19.07473047,4.194030428153148,2.458108,0.1288672468460835,0.042199,5,164909056,164925440,0.096657121,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
80,5,20,80,1600,1600,1600,0,0.0,1567,0.979375,27665.181782099997,7776.0219111581255,7365.171661,16288.12335995,20365.74449812,23299.48571,33350.63690899999,34677.66415972,51.535090572,31.04680679205618,51.904894,1.0071757597375974,6.31553,474,164249600,167051264,2.082111924,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
40,5,20,40,800,800,800,0,0.0,742,0.9275,3816.190718549999,6202.339405635001,6348.9037235,11629.7728322,14063.081360850001,16538.715521,12182.0679277,14093.32724111,25.609061552,31.238942449162966,26.128931,1.0203002147089377,2.311433,229,165015552,164978688,1.11924572,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
30,5,20,30,600,600,600,0,0.0,77,0.12833333333333333,20.250563799999988,734.650289365,753.6248555,1342.1932416499997,1815.8746013799998,1900.135291,1354.846890849999,1827.6568303099998,20.034280164,29.948667737918136,18.835724,0.9401747327985505,0.771821,126,164163584,164036608,0.754868666,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
5,5,20,5,100,100,100,0,0.0,0,0.0,2.5132228999999997,118.94892512,119.146852,187.9998952,218.35745054999998,219.333348,189.86235375,219.74882632999999,19.142642115,5.223939276472233,3.278934,0.17128952107560205,0.516695,16,164397056,164163584,0.103451981,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
3,5,20,3,60,60,60,0,0.0,0,0.0,2.8578171,73.2872445,74.4067685,94.63348784999998,108.7842019,109.188523,95.30576489999997,111.85954943,19.077186153,3.145117918271435,2.021675,0.10597343779035673,0.002302,1,164548608,164618240,0.070641418,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
10,5,20,10,200,200,200,0,0.0,0,0.0,5.399564499999995,243.774913515,242.28979700000002,334.0359592,352.5765489,363.093637,335.99525429999994,355.73957356,19.255632208,10.386571463330474,6.191064,0.3215196433502631,0.06876,23,164294656,164282368,0.224357479,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
2,5,20,2,40,40,40,0,0.0,0,0.0,1.7450296499999982,51.092922775,52.926853,68.00642439999997,75.15039512,75.410171,69.38661419999998,75.84964733000001,19.058178837,2.0988364282920386,1.308636,0.0686653227043595,0.0,0,164462592,164892672,0.046328204,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
1,5,20,1,20,20,20,0,0.0,0,0.0,0.9070926,38.6712056,36.786157,53.55879050000001,66.55145409999999,69.79962,54.42004070000001,67.25599533999998,19.039225501,1.0504628982386672,0.823073,0.04323038245209972,0.0,0,164114432,164696064,0.024497378,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
