elapsed_s,utc,m1_cpu_usage_mcpu,m3_memory_working_set_bytes,m4_memory_growth_bytes_per_s,m5_disk_read_bytes,m6_disk_write_bytes
322.264,2026-07-03T16:57:21Z,0,0,0,0,0
323.354,2026-07-03T16:57:22Z,0,0,0,0,0
324.450,2026-07-03T16:57:23Z,0,0,0,0,0
325.557,2026-07-03T16:57:24Z,0,0,0,0,0
326.653,2026-07-03T16:57:25Z,0,0,0,0,0
327.764,2026-07-03T16:57:26Z,0,0,0,0,0
328.848,2026-07-03T16:57:28Z,0,0,0,0,0
329.950,2026-07-03T16:57:29Z,0,0,0,0,0
331.045,2026-07-03T16:57:30Z,0,0,0,0,0
332.167,2026-07-03T16:57:31Z,0,0,0,0,0
333.265,2026-07-03T16:57:32Z,0,0,0,0,0
334.366,2026-07-03T16:57:33Z,0,0,0,0,0
335.445,2026-07-03T16:57:34Z,0,0,0,0,0
336.574,2026-07-03T16:57:35Z,0,0,0,0,0
337.663,2026-07-03T16:57:36Z,0,0,0,0,0
338.748,2026-07-03T16:57:37Z,0,0,0,0,0
339.856,2026-07-03T16:57:39Z,0,0,0,0,0
340.981,2026-07-03T16:57:40Z,0,0,0,0,0
342.080,2026-07-03T16:57:41Z,0,0,0,0,0
343.165,2026-07-03T16:57:42Z,0,0,0,0,0
344.295,2026-07-03T16:57:43Z,0,0,0,0,0
345.374,2026-07-03T16:57:44Z,0,0,0,0,0
346.484,2026-07-03T16:57:45Z,0,0,0,0,0
347.693,2026-07-03T16:57:46Z,0,0,0,0,0
348.779,2026-07-03T16:57:47Z,0,0,0,0,0
349.861,2026-07-03T16:57:49Z,0,0,0,0,0
350.950,2026-07-03T16:57:50Z,0,0,0,0,0
352.027,2026-07-03T16:57:51Z,0,0,0,0,0
353.163,2026-07-03T16:57:52Z,0,0,0,0,0
354.227,2026-07-03T16:57:53Z,0,0,0,0,0
355.296,2026-07-03T16:57:54Z,0,0,0,0,0
356.391,2026-07-03T16:57:55Z,0,0,0,0,0
357.483,2026-07-03T16:57:56Z,0,0,0,0,0
358.590,2026-07-03T16:57:57Z,0,0,0,0,0
359.688,2026-07-03T16:57:58Z,0,0,0,0,0
360.789,2026-07-03T16:57:59Z,0,0,0,0,0
361.886,2026-07-03T16:58:01Z,0,0,0,0,0
362.959,2026-07-03T16:58:02Z,0,0,0,0,0
364.081,2026-07-03T16:58:03Z,0,0,0,0,0
365.193,2026-07-03T16:58:04Z,0,0,0,0,0
366.287,2026-07-03T16:58:05Z,0,0,0,0,0
367.408,2026-07-03T16:58:06Z,0,0,0,0,0
368.474,2026-07-03T16:58:07Z,0,0,0,0,0
369.578,2026-07-03T16:58:08Z,0,0,0,0,0
370.650,2026-07-03T16:58:09Z,0,0,0,0,0
371.717,2026-07-03T16:58:10Z,0,0,0,0,0
372.845,2026-07-03T16:58:12Z,0,0,0,0,0
373.931,2026-07-03T16:58:13Z,0,0,0,0,0
375.008,2026-07-03T16:58:14Z,0,0,0,0,0
376.084,2026-07-03T16:58:15Z,0,0,0,0,0
377.168,2026-07-03T16:58:16Z,0,0,0,0,0
378.284,2026-07-03T16:58:17Z,0,0,0,0,0
379.384,2026-07-03T16:58:18Z,0,0,0,0,0
380.474,2026-07-03T16:58:19Z,0,0,0,0,0
381.565,2026-07-03T16:58:20Z,0,0,0,0,0
382.674,2026-07-03T16:58:21Z,0,0,0,0,0
383.755,2026-07-03T16:58:22Z,0,0,0,0,0
384.842,2026-07-03T16:58:24Z,0,0,0,0,0
385.959,2026-07-03T16:58:25Z,0,0,0,0,0
387.066,2026-07-03T16:58:26Z,0,0,0,0,0
388.135,2026-07-03T16:58:27Z,0,0,0,0,0
389.215,2026-07-03T16:58:28Z,0,0,0,0,0
390.309,2026-07-03T16:58:29Z,0,0,0,0,0
391.444,2026-07-03T16:58:30Z,0,0,0,0,0
392.557,2026-07-03T16:58:31Z,0,0,0,0,0
393.633,2026-07-03T16:58:32Z,0,0,0,0,0
394.725,2026-07-03T16:58:33Z,0,0,0,0,0
395.823,2026-07-03T16:58:35Z,0,0,0,0,0
396.892,2026-07-03T16:58:36Z,0,0,0,0,0
397.972,2026-07-03T16:58:37Z,0,0,0,0,0
399.097,2026-07-03T16:58:38Z,0,0,0,0,0
400.189,2026-07-03T16:58:39Z,0,0,0,0,0
401.257,2026-07-03T16:58:40Z,0,0,0,0,0
402.345,2026-07-03T16:58:41Z,0,0,0,0,0
403.440,2026-07-03T16:58:42Z,0,0,0,0,0
404.562,2026-07-03T16:58:43Z,0,0,0,0,0
405.672,2026-07-03T16:58:44Z,0,0,0,0,0
406.744,2026-07-03T16:58:45Z,0,0,0,0,0
407.818,2026-07-03T16:58:47Z,0,0,0,0,0
408.892,2026-07-03T16:58:48Z,0,0,0,0,0
410.050,2026-07-03T16:58:49Z,0,0,0,0,0
411.156,2026-07-03T16:58:50Z,0,0,0,0,0
412.260,2026-07-03T16:58:51Z,0,0,0,0,0
413.334,2026-07-03T16:58:52Z,0,0,0,0,0
414.437,2026-07-03T16:58:53Z,0,0,0,0,0
415.525,2026-07-03T16:58:54Z,0,0,0,0,0
416.592,2026-07-03T16:58:55Z,0,0,0,0,0
417.690,2026-07-03T16:58:56Z,0,0,0,0,0
418.784,2026-07-03T16:58:57Z,0,0,0,0,0
419.904,2026-07-03T16:58:59Z,0,0,0,0,0
421.001,2026-07-03T16:59:00Z,0,0,0,0,0
422.071,2026-07-03T16:59:01Z,0,0,0,0,0
423.182,2026-07-03T16:59:02Z,0,0,0,0,0
424.274,2026-07-03T16:59:03Z,0,0,0,0,0
425.369,2026-07-03T16:59:04Z,0,0,0,0,0
426.436,2026-07-03T16:59:05Z,0,0,0,0,0
427.511,2026-07-03T16:59:06Z,0,0,0,0,0
428.600,2026-07-03T16:59:07Z,0,0,0,0,0
429.722,2026-07-03T16:59:08Z,0,0,0,0,0
430.845,2026-07-03T16:59:10Z,0,0,0,0,0
431.971,2026-07-03T16:59:11Z,0,0,0,0,0
433.033,2026-07-03T16:59:12Z,0,0,0,0,0
434.104,2026-07-03T16:59:13Z,0,0,0,0,0
435.174,2026-07-03T16:59:14Z,0,0,0,0,0
436.254,2026-07-03T16:59:15Z,0,0,0,0,0
437.348,2026-07-03T16:59:16Z,0,0,0,0,0
438.455,2026-07-03T16:59:17Z,0,0,0,0,0
439.529,2026-07-03T16:59:18Z,0,0,0,0,0
440.604,2026-07-03T16:59:19Z,0,0,0,0,0
441.673,2026-07-03T16:59:20Z,0,0,0,0,0
442.742,2026-07-03T16:59:21Z,0,0,0,0,0
443.837,2026-07-03T16:59:23Z,0,0,0,0,0
444.929,2026-07-03T16:59:24Z,0,0,0,0,0
446.003,2026-07-03T16:59:25Z,0,0,0,0,0
447.094,2026-07-03T16:59:26Z,0,0,0,0,0
448.183,2026-07-03T16:59:27Z,0,0,0,0,0
449.283,2026-07-03T16:59:28Z,0,0,0,0,0
450.381,2026-07-03T16:59:29Z,0,0,0,0,0
451.502,2026-07-03T16:59:30Z,0,0,0,0,0
452.601,2026-07-03T16:59:31Z,0,0,0,0,0
453.746,2026-07-03T16:59:32Z,0,0,0,0,0
454.832,2026-07-03T16:59:34Z,0,0,0,0,0
455.907,2026-07-03T16:59:35Z,0,0,0,0,0
457.014,2026-07-03T16:59:36Z,0,0,0,0,0
458.127,2026-07-03T16:59:37Z,0,0,0,0,0
459.218,2026-07-03T16:59:38Z,0,0,0,0,0
460.306,2026-07-03T16:59:39Z,0,0,0,0,0
461.409,2026-07-03T16:59:40Z,0,0,0,0,0
462.500,2026-07-03T16:59:41Z,0,0,0,0,0
463.597,2026-07-03T16:59:42Z,0,0,0,0,0
464.691,2026-07-03T16:59:43Z,0,0,0,0,0
465.777,2026-07-03T16:59:44Z,0,0,0,0,0
466.851,2026-07-03T16:59:46Z,0,0,0,0,0
467.922,2026-07-03T16:59:47Z,0,0,0,0,0
469.020,2026-07-03T16:59:48Z,0,0,0,0,0
470.234,2026-07-03T16:59:49Z,0,0,0,0,0
471.311,2026-07-03T16:59:50Z,0,0,0,0,0
472.378,2026-07-03T16:59:51Z,0,0,0,0,0
473.457,2026-07-03T16:59:52Z,0,0,0,0,0
474.545,2026-07-03T16:59:53Z,0,0,0,0,0
475.626,2026-07-03T16:59:54Z,0,0,0,0,0
476.725,2026-07-03T16:59:55Z,0,0,0,0,0
477.820,2026-07-03T16:59:57Z,0,0,0,0,0
478.928,2026-07-03T16:59:58Z,0,0,0,0,0
480.045,2026-07-03T16:59:59Z,0,0,0,0,0
481.143,2026-07-03T17:00:00Z,0,0,0,0,0
482.222,2026-07-03T17:00:01Z,0,0,0,0,0
483.403,2026-07-03T17:00:02Z,0,0,0,0,0
484.489,2026-07-03T17:00:03Z,0,0,0,0,0
485.592,2026-07-03T17:00:04Z,0,0,0,0,0
486.685,2026-07-03T17:00:05Z,0,0,0,0,0
487.795,2026-07-03T17:00:07Z,0,0,0,0,0
488.866,2026-07-03T17:00:08Z,0,0,0,0,0
489.988,2026-07-03T17:00:09Z,0,0,0,0,0
491.085,2026-07-03T17:00:10Z,0,0,0,0,0
492.157,2026-07-03T17:00:11Z,0,0,0,0,0
493.229,2026-07-03T17:00:12Z,0,0,0,0,0
494.306,2026-07-03T17:00:13Z,0,0,0,0,0
495.391,2026-07-03T17:00:14Z,0,0,0,0,0
496.573,2026-07-03T17:00:15Z,0,0,0,0,0
497.641,2026-07-03T17:00:16Z,0,0,0,0,0
498.713,2026-07-03T17:00:17Z,0,0,0,0,0
499.795,2026-07-03T17:00:19Z,0,0,0,0,0
500.898,2026-07-03T17:00:20Z,0,0,0,0,0
501.978,2026-07-03T17:00:21Z,0,0,0,0,0
503.068,2026-07-03T17:00:22Z,0,0,0,0,0
504.157,2026-07-03T17:00:23Z,0,0,0,0,0
505.230,2026-07-03T17:00:24Z,0,0,0,0,0
506.306,2026-07-03T17:00:25Z,0,0,0,0,0
507.434,2026-07-03T17:00:26Z,0,0,0,0,0
508.514,2026-07-03T17:00:27Z,0,0,0,0,0
509.662,2026-07-03T17:00:28Z,0,0,0,0,0
510.727,2026-07-03T17:00:29Z,0,0,0,0,0
511.813,2026-07-03T17:00:31Z,0,0,0,0,0
