schema,started_utc,finished_utc,workloads,repetition,seed,warmup_ticks,measured_ticks,ticks,max_contexts,decision_equiv_ok,decision_mismatches,expected_updates,observed_updates,trace_accepted_rows,wall_time_s,cpu_time_s,throughput_updates_s,cpu_utilization_one_core_pct,rss_start_bytes,rss_end_bytes,rss_delta_bytes,cycle_latency_mean_ms,cycle_latency_median_ms,cycle_latency_p50_ms,cycle_latency_p95_ms,cycle_latency_p99_ms,cycle_latency_max_ms,deadline_misses,deadline_miss_rate
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:04.241329+00:00,2026-08-08T05:22:04.623110+00:00,5,4,20265811,8,300,300,80,True,0,1540,1540,1772,0.087629154,0.087633505,17574.059884225288,100.00496524250366,38146048,38535168,389120,0.2803265,0.2167145,0.2167145,0.6897481000000008,0.9994257699999994,1.390833,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:04.651577+00:00,2026-08-08T05:22:04.964990+00:00,5,5,20265812,8,300,300,80,True,0,1540,1540,1772,0.077074245,0.077078934,19980.734160937936,100.00608374431692,38187008,38563840,376832,0.24687529333333336,0.21344000000000002,0.21344000000000002,0.3461401500000001,0.8237182999999992,1.105457,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:04.990819+00:00,2026-08-08T05:22:05.381804+00:00,10,1,20270808,8,300,300,80,True,0,3080,3080,1772,0.120118387,0.119906403,25641.369959455085,99.82352077371802,38223872,38600704,376832,0.38806784,0.3602655,0.3602655,0.49788095000000016,0.6841639699999994,1.084228,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:05.428532+00:00,2026-08-08T05:22:05.842395+00:00,10,2,20270809,8,300,300,80,True,0,3080,3080,1772,0.129589724,0.129086006,23767.316612233855,99.6112978834649,38150144,38526976,376832,0.41878298666666663,0.395134,0.395134,0.5408307500000002,1.00423327,1.454991,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:05.864824+00:00,2026-08-08T05:22:06.322283+00:00,10,3,20270810,8,300,300,80,True,0,3080,3080,1772,0.141978227,0.14176513,21693.467125772742,99.84990867649023,38223872,38617088,393216,0.45726509666666665,0.4089345,0.4089345,0.7175985500000002,1.4907375099999998,2.092094,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:06.349917+00:00,2026-08-08T05:22:06.863487+00:00,10,4,20270811,8,300,300,80,True,0,3080,3080,1772,0.174067344,0.173957213,17694.301120605367,99.93673080919761,38191104,38584320,393216,0.5641452666666666,0.443197,0.443197,1.5236767000000002,1.8361581899999992,2.120199,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:06.885700+00:00,2026-08-08T05:22:07.296548+00:00,10,5,20270812,8,300,300,80,True,0,3080,3080,1772,0.141687351,0.141330946,21738.002568768472,99.74845672709344,38187008,38580224,393216,0.45805718666666667,0.3831305,0.3831305,0.8136155500000001,1.3509713499999991,1.690993,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:07.323981+00:00,2026-08-08T05:22:08.023459+00:00,20,1,20280808,8,300,300,80,True,0,6160,6160,1772,0.268465547,0.267350644,22945.216132332986,99.58471281977944,38334464,38723584,389120,0.8740884333333334,0.79414,0.79414,1.3869545500000005,2.6802585699999995,3.00447,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:08.050912+00:00,2026-08-08T05:22:08.833873+00:00,20,2,20280809,8,300,300,80,True,0,6160,6160,1772,0.32673745,0.326650148,18853.0577073427,99.97328068759795,38047744,38453248,405504,1.0650880200000001,0.878624,0.878624,2.816970900000002,3.21523032,3.348289,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:08.854985+00:00,2026-08-08T05:22:09.510805+00:00,20,3,20280810,8,300,300,80,True,0,6160,6160,1772,0.252957809,0.252764239,24351.88707694729,99.92347735744343,38133760,38539264,405504,0.8211001866666667,0.7643295000000001,0.7643295000000001,1.1387547000000002,2.1074927499999982,2.519972,0,0.0
